index	case_id	section	x	y	z	placements	notes
0	connected-acacia_window_covered_connecting	connected-census	162	100	162	1	isolated default-state census of an exact predicate-connected route
1	forced-disconnected-acacia_window_covered	forced-disconnected	163	100	162	1	matching bridge route whose Fusion sheet must be forced to tile 0
2	connected-acacia_window_diagonal_connecting	connected-census	165	100	162	1	isolated default-state census of an exact predicate-connected route
3	forced-disconnected-acacia_window_diagonal	forced-disconnected	166	100	162	1	matching bridge route whose Fusion sheet must be forced to tile 0
4	connected-acacia_window_large_connecting	connected-census	168	100	162	1	isolated default-state census of an exact predicate-connected route
5	forced-disconnected-acacia_window_large	forced-disconnected	169	100	162	1	matching bridge route whose Fusion sheet must be forced to tile 0
6	connected-acacia_window_panes_connecting	connected-census	171	100	162	1	isolated default-state census of an exact predicate-connected route
7	forced-disconnected-acacia_window_panes	forced-disconnected	172	100	162	1	matching bridge route whose Fusion sheet must be forced to tile 0
8	connected-acacia_window_rounded_connecting	connected-census	174	100	162	1	isolated default-state census of an exact predicate-connected route
9	forced-disconnected-acacia_window_rounded	forced-disconnected	175	100	162	1	matching bridge route whose Fusion sheet must be forced to tile 0
10	connected-acacia_window_slim_connecting	connected-census	177	100	162	1	isolated default-state census of an exact predicate-connected route
11	forced-disconnected-acacia_window_slim	forced-disconnected	178	100	162	1	matching bridge route whose Fusion sheet must be forced to tile 0
12	connected-acacia_window_swirling_connecting	connected-census	180	100	162	1	isolated default-state census of an exact predicate-connected route
13	forced-disconnected-acacia_window_swirling	forced-disconnected	181	100	162	1	matching bridge route whose Fusion sheet must be forced to tile 0
14	connected-acacia_window_tiles_connecting	connected-census	183	100	162	1	isolated default-state census of an exact predicate-connected route
15	forced-disconnected-acacia_window_tiles	forced-disconnected	184	100	162	1	matching bridge route whose Fusion sheet must be forced to tile 0
16	connected-andesite_cut_polished_connecting	connected-census	186	100	162	1	isolated default-state census of an exact predicate-connected route
17	connected-andesite_cut_polished_slab_connecting	connected-census	189	100	162	1	isolated default-state census of an exact predicate-connected route
18	connected-andesite_cut_polished_stairs_connecting	connected-census	192	100	162	1	isolated default-state census of an exact predicate-connected route
19	connected-andesite_cut_small_brick_connecting	connected-census	195	100	162	1	isolated default-state census of an exact predicate-connected route
20	connected-andesite_cut_small_brick_slab_connecting	connected-census	198	100	162	1	isolated default-state census of an exact predicate-connected route
21	connected-andesite_cut_small_brick_stairs_connecting	connected-census	201	100	162	1	isolated default-state census of an exact predicate-connected route
22	connected-asurine_cut_polished_connecting	connected-census	204	100	162	1	isolated default-state census of an exact predicate-connected route
23	connected-asurine_cut_polished_slab_connecting	connected-census	207	100	162	1	isolated default-state census of an exact predicate-connected route
24	connected-asurine_cut_polished_stairs_connecting	connected-census	210	100	162	1	isolated default-state census of an exact predicate-connected route
25	connected-asurine_cut_small_brick_connecting	connected-census	213	100	162	1	isolated default-state census of an exact predicate-connected route
26	connected-asurine_cut_small_brick_slab_connecting	connected-census	162	100	165	1	isolated default-state census of an exact predicate-connected route
27	connected-asurine_cut_small_brick_stairs_connecting	connected-census	165	100	165	1	isolated default-state census of an exact predicate-connected route
28	connected-birch_window_bars_connecting	connected-census	168	100	165	1	isolated default-state census of an exact predicate-connected route
29	forced-disconnected-birch_window_bars	forced-disconnected	169	100	165	1	matching bridge route whose Fusion sheet must be forced to tile 0
30	connected-birch_window_diagonal_connecting	connected-census	171	100	165	1	isolated default-state census of an exact predicate-connected route
31	forced-disconnected-birch_window_diagonal	forced-disconnected	172	100	165	1	matching bridge route whose Fusion sheet must be forced to tile 0
