index	block_id	route_kind	shape_family	legal_states	texture_layout	texture_sheet	counterpart
0	rechiseledcreate:acacia_window_covered	forced-disconnected-tile0	axis	3	simple	rechiseledcreate:block/acacia_window_covered_side	rechiseledcreate:acacia_window_covered_connecting
1	rechiseledcreate:acacia_window_covered_connecting	predicate-connected	axis	3	simple	rechiseledcreate:block/acacia_window_covered_side	rechiseledcreate:acacia_window_covered
2	rechiseledcreate:acacia_window_diagonal	forced-disconnected-tile0	axis	3	simple	rechiseledcreate:block/acacia_window_diagonal_side	rechiseledcreate:acacia_window_diagonal_connecting
3	rechiseledcreate:acacia_window_diagonal_connecting	predicate-connected	axis	3	simple	rechiseledcreate:block/acacia_window_diagonal_side	rechiseledcreate:acacia_window_diagonal
4	rechiseledcreate:acacia_window_large	forced-disconnected-tile0	axis	3	simple	rechiseledcreate:block/acacia_window_large_side	rechiseledcreate:acacia_window_large_connecting
5	rechiseledcreate:acacia_window_large_connecting	predicate-connected	axis	3	simple	rechiseledcreate:block/acacia_window_large_side	rechiseledcreate:acacia_window_large
6	rechiseledcreate:acacia_window_panes	forced-disconnected-tile0	axis	3	simple	rechiseledcreate:block/acacia_window_panes_side	rechiseledcreate:acacia_window_panes_connecting
7	rechiseledcreate:acacia_window_panes_connecting	predicate-connected	axis	3	simple	rechiseledcreate:block/acacia_window_panes_side	rechiseledcreate:acacia_window_panes
8	rechiseledcreate:acacia_window_rounded	forced-disconnected-tile0	axis	3	simple	rechiseledcreate:block/acacia_window_rounded_side	rechiseledcreate:acacia_window_rounded_connecting
9	rechiseledcreate:acacia_window_rounded_connecting	predicate-connected	axis	3	simple	rechiseledcreate:block/acacia_window_rounded_side	rechiseledcreate:acacia_window_rounded
10	rechiseledcreate:acacia_window_slim	forced-disconnected-tile0	axis	3	simple	rechiseledcreate:block/acacia_window_slim_side	rechiseledcreate:acacia_window_slim_connecting
11	rechiseledcreate:acacia_window_slim_connecting	predicate-connected	axis	3	simple	rechiseledcreate:block/acacia_window_slim_side	rechiseledcreate:acacia_window_slim
12	rechiseledcreate:acacia_window_swirling	forced-disconnected-tile0	axis	3	simple	rechiseledcreate:block/acacia_window_swirling_side	rechiseledcreate:acacia_window_swirling_connecting
13	rechiseledcreate:acacia_window_swirling_connecting	predicate-connected	axis	3	simple	rechiseledcreate:block/acacia_window_swirling_side	rechiseledcreate:acacia_window_swirling
